SITE,SAMPLE,LATITUDE,LONGITUDE,DEPTH_M,C_CODE,LITHOLOGY,GRAVEL,SAND,SILT,CLAY,MUD,MEAN_PHI,STD DEV,BAY,
1,CB-85-001,43.75075278,-70.13717778,5,sM,SANDY MUD,0,10,8,82,90,10.7,3.1,CASCO BAY,
2,CB-85-002,43.73586667,-70.14514444,10,sM,SANDY MUD,,,,,,,,CASCO BAY,
3,CB-85-003,43.70705833,-70.182725,16,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
4,CB-85-004,43.63051389,-70.20684722,23,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
5,CB-85-005,43.608675,-70.18165556,17,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
6,CB-85-006,43.695575,-70.11361944,24,sM,SANDY MUD,,,,,,,,CASCO BAY,
7,CB-85-007,43.70726389,-70.10068889,11,mgS,MUDDY GRAVELLY SAND,,,,,,,,CASCO BAY,
8,CB-85-008,43.72679444,-70.07783889,22,sM,SANDY MUD,0,28,15,57,72,7.7,4.1,CASCO BAY,
9,CB-85-009,43.73674722,-70.06587222,33,sG,SANDY GRAVEL,,,,,,,,CASCO BAY,
10,CB-85-010,43.74865278,-70.07420556,23,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
11,CB-85-011,43.76542222,-70.0884,16,sM,SANDY MUD,2,41,23,34,57,6.1,3.8,CASCO BAY,
12,CB-85-012,43.76087222,-70.10420556,7,sM,SANDY MUD,0,15,23,63,85,8.7,3.5,CASCO BAY,
13,CB-85-013,43.72375278,-70.15355278,12,sM,SANDY MUD,0,11,20,69,89,9.4,3,CASCO BAY,
14,CB-85-014,43.72545278,-70.17598611,14,M,MUD,0,4,38,58,96,9.1,3.1,CASCO BAY,
15,CB-86-019,43.70003889,-70.018225,15,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
16,CB-86-020,43.67324167,-69.98922222,49,sM,SANDY MUD,1,30,13,56,69,7.9,3.8,CASCO BAY,
17,CB-86-021,43.6605,-69.97698056,53,sM,SANDY MUD,0,27,37,37,73,7,3.6,CASCO BAY,
19,CB-86-023,43.6303,-69.98301111,48,msG,MUDDY SANDY GRAVEL,71,13,5,12,16,-0.3,4.2,CASCO BAY,
20,CB-86-024,43.59113056,-70.02912778,44,msG,MUDDY SANDY GRAVEL,55,37,4,4,8,-1.2,3.4,CASCO BAY,
21,CB-86-025,43.55768333,-70.06673056,48,msG,MUDDY SANDY GRAVEL,47,44,2,7,9,-0.6,3.4,CASCO BAY,
22,CB-86-026,43.54208611,-70.08595833,45,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
23,CB-86-027,43.52724722,-70.10388056,72,sM,SANDY MUD,3,44,20,33,53,5.4,4.2,CASCO BAY,
24,CB-86-028,43.50242778,-70.13225556,25,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,SACO BAY,
25,CB-86-029,43.49021667,-70.14600278,53,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,SACO BAY,
26,CB-86-030,43.50667778,-70.16265556,41,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,SACO BAY,
27,CB-86-031,43.52266111,-70.17888056,59,mS,MUDDY SAND,0,62,6,31,38,5.6,3.8,SACO BAY,
28,CB-86-032,43.53929167,-70.19561667,42,msG,MUDDY SANDY GRAVEL,52,24,7,16,23,1,5.4,SACO BAY,
29,CB-86-033,43.55858056,-70.22568333,7,G,GRAVEL,,,,,,,,SACO BAY,
30,CB-86-034,43.55878889,-70.22406944,7,sG,SANDY GRAVEL,,,,,,,,SACO BAY,
31,CB-86-035,43.56104444,-70.22917778,3,S,SAND,,,,,,,,SACO BAY,
32,CB-86-036,43.59198333,-70.17107222,16,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
33,CB-86-037,43.60308056,-70.15928889,19,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
34,CB-86-038,43.61273056,-70.14765,37,sM,SANDY MUD,0,38,17,46,62,7.2,4.1,CASCO BAY,
35,CB-86-039,43.62466389,-70.13413333,43,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
36,CB-86-040,43.69601389,-69.93491111,38,mS,MUDDY SAND,,,,,,,,CASCO BAY,
37,CB-86-041,43.70032222,-69.93545278,36,sM,SANDY MUD,0,17,25,58,83,8.1,3.4,CASCO BAY,
38,CB-86-042,43.70646389,-69.92693889,31,S,SAND,0,99,0,0,1,3.3,0.4,CASCO BAY,
39,CB-86-043,43.71863889,-69.91421111,22,S,SAND,0,97,1,1,3,1.1,0.7,CASCO BAY,
40,CB-86-044,43.72838889,-69.90284722,23,mS,MUDDY SAND,0,78,10,13,23,4.4,2.2,CASCO BAY,
41,CB-86-045,43.72611111,-69.88706667,17,sG,SANDY GRAVEL,36,62,1,2,2,0,2.4,CASCO BAY,
42,CB-86-046,43.71105,-69.869725,14,S,SAND,1,94,3,3,5,2.3,1,CASCO BAY,
43,CB-86-047,43.69785556,-69.85943333,14,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
44,CB-86-048,43.68980556,-69.84788056,22,S,SAND,3,93,2,2,4,0.7,0.7,CASCO BAY,
45,CB-86-049,43.66685,-69.82239444,19,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,SACO BAY,
46,CB-86-050,43.65020278,-69.80463056,39,gS,GRAVELLY SAND,,,,,,,,SACO BAY,
47,CB-86-051,43.63299167,-69.78594444,62,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,SACO BAY,
48,CB-86-052,43.6168,-69.76749167,87,M,MUD,,,,,,,,,
49,CB-86-053,43.60401111,-69.78270556,93,sM,SANDY MUD,0,9,28,63,92,9.4,3.2,,
50,CB-86-054,43.59255,-69.79744444,80,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,,
51,CB-86-055,43.609175,-69.816225,54,msG,MUDDY SANDY GRAVEL,,,,,,,,,
52,CB-86-056,43.59798056,-69.83040833,88,M,MUD,,,,,,,,SACO BAY,
53,CB-86-057,43.58586389,-69.84488889,89,M,MUD,0,4,28,68,96,9.4,2.9,CASCO BAY,
54,CB-86-058,43.57506111,-69.85969444,86,sM,SANDY MUD,,,,,,,,CASCO BAY,
55,CB-86-059,43.56255833,-69.87457778,84,M,MUD,,,,,,,,CASCO BAY,
56,CB-86-060,43.55081667,-69.88923611,80,mS,MUDDY SAND,4,49,10,37,47,5,4.9,CASCO BAY,
57,CB-86-061,43.56729167,-69.90674444,56,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
58,CB-86-062,43.57905278,-69.89296944,87,M,MUD,,,,,,,,CASCO BAY,
59,CB-86-063,43.59073611,-69.87809444,86,M,MUD,0,2,30,68,98,10.2,2.7,CASCO BAY,
60,CB-86-064,43.60294444,-69.86322222,85,M,MUD,0,4,26,70,96,10,2.9,CASCO BAY,
61,CB-86-065,43.61446389,-69.84838611,67,sM,SANDY MUD,,,,,,,,CASCO BAY,
62,CB-86-066,43.62603889,-69.83385556,48,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,SACO BAY,
63,CB-86-067,43.63794722,-69.81889722,43,S,SAND,0,96,2,2,4,1.4,0.4,SACO BAY,
64,CB-86-068,43.62082778,-69.80065556,53,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,SACO BAY,
65,CB-86-069,43.60934444,-69.81640278,52,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,,
66,CB-86-070,43.64301944,-69.8513,44,mS,MUDDY SAND,0,92,2,6,8,2.3,1.3,CASCO BAY,
67,CB-86-071,43.66050833,-69.87008611,36,S,SAND,0,96,2,2,4,1.6,0.7,CASCO BAY,
68,CB-86-072,43.67077222,-69.8807,33,S,SAND,,,,,,,,CASCO BAY,
69,CB-86-073,43.67359167,-69.89115833,30,S,SAND,0,96,0,4,5,2.4,0.5,CASCO BAY,
70,CB-86-074,43.69402222,-69.90555,28,gS,GRAVELLY SAND,14,85,1,1,2,1.6,1.6,CASCO BAY,
71,CB-86-075,43.68758611,-69.92788889,22,msG,MUDDY SANDY GRAVEL,50,36,2,12,14,-0.6,4,CASCO BAY,
72,CB-86-076,43.68271944,-69.92039167,34,mS,MUDDY SAND,0,53,29,18,47,4.9,3,CASCO BAY,
73,CB-86-077,43.67297778,-69.91037222,42,sM,SANDY MUD,,,,,,,,CASCO BAY,
74,CB-86-078,43.66900556,-69.89869444,35,S,SAND,,,,,,,,CASCO BAY,
75,CB-86-079,43.66358056,-69.89993333,44,sM,SANDY MUD,0,44,24,33,56,6.3,3.9,CASCO BAY,
76,CB-86-080,43.65833333,-69.89519167,44,mS,MUDDY SAND,0,67,17,17,33,4.3,3,CASCO BAY,
77,CB-86-081,43.64460278,-69.88931389,53,sM,SANDY MUD,3,42,12,43,55,7,4.4,CASCO BAY,
78,CB-86-082,43.63591667,-69.89922778,53,mS,MUDDY SAND,0,70,5,25,30,5.1,3.9,CASCO BAY,
79,CB-86-083,43.62319167,-69.91560278,49,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
80,CB-86-084,43.61413889,-69.92591389,73,sM,SANDY MUD,0,32,13,56,68,7.6,4.5,CASCO BAY,
81,CB-86-085,43.62977778,-69.94448611,41,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
82,CB-86-086,43.63346944,-69.94835,43,gmS,GRAVELLY MUDDY SAND,10,75,4,11,15,2.1,2.7,CASCO BAY,
83,CB-86-087,43.72140556,-69.98657778,26,sM,SANDY MUD,,,,,,,,CASCO BAY,
84,CB-86-088,43.70432778,-69.96977222,27,M,MUD,,,,,,,,CASCO BAY,
85,CB-86-089,43.68747778,-69.95236389,32,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
86,CB-86-090,43.65993889,-69.90975556,49,gsM,GRAVELLY SANDY MUD,,,,,,,,CASCO BAY,
87,CB-86-091,43.61946111,-69.95507778,58,mS,MUDDY SAND,0,73,5,22,27,4.9,3.4,CASCO BAY,
88,CB-86-092,43.60590556,-69.97330556,59,msG,MUDDY SANDY GRAVEL,,,,,,,,CASCO BAY,
89,CB-86-093,43.58960278,-69.95656667,86,gsM,GRAVELLY SANDY MUD,15,32,3,50,53,6.5,5.1,CASCO BAY,
90,CB-86-094,43.577625,-69.97061111,62,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
91,CB-86-095,43.59415,-69.98781111,66,mgS,MUDDY GRAVELLY SAND,,,,,,,,CASCO BAY,
92,CB-86-096,43.58256667,-70.00193056,58,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
93,CB-86-097,43.565525,-69.98585278,82,smG,SANDY MUDDY GRAVEL,48,22,8,22,30,1.9,6.2,CASCO BAY,
94,CB-86-098,43.55389167,-69.999475,96,M,MUD,,,,,,,,CASCO BAY,
95,CB-86-099,43.557425,-70.03501111,65,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
96,CB-86-100,43.53093056,-70.05953889,49,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
97,CB-86-101,43.54678611,-70.12461944,72,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
98,CB-86-102,43.55782778,-70.13552778,41,gM,GRAVELLY MUD,,,,,,,,CASCO BAY,
99,CB-86-103,43.56795833,-70.14494722,46,msG,MUDDY SANDY GRAVEL,49,37,5,9,14,-0.6,3.9,CASCO BAY,
100,CB-86-104,43.58338056,-70.16053056,21,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
101,CB-86-105,43.59271667,-70.17024722,17,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
102,CB-86-106,43.62021944,-70.17221667,22,sG,SANDY GRAVEL,53,46,1,1,1,-1.4,2.6,CASCO BAY,
103,CB-86-107,43.62179167,-70.16941389,21,S,SAND,2,94,2,2,5,2.1,0.9,CASCO BAY,
104,CB-86-108,43.63650556,-70.17204722,25,M,MUD,0,4,25,71,97,9.4,2.7,CASCO BAY,
105,CB-86-109,43.6527,-70.16921389,24,sM,SANDY MUD,0,18,18,65,83,8.2,3.6,CASCO BAY,
106,CB-86-110,43.67315556,-70.07936389,28,msG,MUDDY SANDY GRAVEL,71,19,6,5,11,-1.6,3.6,CASCO BAY,
107,CB-86-111,43.64859722,-70.06781667,42,smG,SANDY MUDDY GRAVEL,,,,,,,,CASCO BAY,
108,CB-86-112,43.63887778,-70.06045,55,sM,SANDY MUD,0,16,36,48,85,7.9,3.5,CASCO BAY,
109,CB-86-113,43.64262222,-70.05063889,57,msG,MUDDY SANDY GRAVEL,,,,,,,,CASCO BAY,
110,CB-86-114,43.65140278,-70.04702778,49,msG,MUDDY SANDY GRAVEL,,,,,,,,CASCO BAY,
111,CB-86-115,43.65221944,-70.05341389,56,sM,SANDY MUD,0,27,29,44,74,7.4,3.6,CASCO BAY,
112,CB-86-116,43.65808056,-70.04626944,60,M,MUD,,,,,,,,CASCO BAY,
113,CB-86-117,43.67151944,-70.04723611,45,sM,SANDY MUD,,,,,,,,CASCO BAY,
114,CB-86-118,43.68134444,-70.05239444,53,gsM,GRAVELLY SANDY MUD,,,,,,,,CASCO BAY,
115,CB-86-119,43.68726944,-70.0551,58,smG,SANDY MUDDY GRAVEL,73,7,5,15,20,-0.2,5.3,CASCO BAY,
116,CB-86-120,43.695025,-70.05826111,53,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
117,CB-86-121,43.69262222,-69.98284722,41,sM,SANDY MUD,0,17,62,22,83,6.7,3.1,CASCO BAY,
118,CB-86-122,43.67544444,-69.96595278,26,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
119,CB-86-123,43.63186944,-69.86675,58,gmS,GRAVELLY MUDDY SAND,18,64,7,12,19,2.1,4,CASCO BAY,
120,CB-86-124,43.62044722,-69.88054722,62,gsM,GRAVELLY SANDY MUD,,,,,,,,CASCO BAY,
121,CB-86-125,43.60832222,-69.89518333,82,M,MUD,0,4,17,80,97,10.3,2.6,CASCO BAY,
122,CB-86-126,43.59697222,-69.90958333,84,M,MUD,0,5,29,67,95,9.9,3.4,CASCO BAY,
123,CB-86-127,43.61295833,-69.92735833,65,sM,SANDY MUD,,,,,,,,CASCO BAY,
124,CB-86-128,43.58500833,-69.92386111,88,sM,SANDY MUD,0,19,53,28,81,8.3,4.5,CASCO BAY,
125,CB-86-129,43.542025,-70.01281667,95,sG,SANDY GRAVEL,84,12,2,3,4,-2.6,2.3,CASCO BAY,
126,CB-86-130,43.52985,-70.02687778,97,sM,SANDY MUD,0,22,56,23,79,9.3,4.4,CASCO BAY,
127,CB-86-131,43.51786667,-70.04143333,65,mgS,MUDDY GRAVELLY SAND,32,56,9,4,13,0,3.9,CASCO BAY,
128,CB-86-132,43.50568333,-70.05557778,61,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
129,CB-86-133,43.49385,-70.07035,56,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
130,CB-86-134,43.48201944,-70.08434722,56,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
131,CB-86-135,43.46992222,-70.09861389,100,sM,SANDY MUD,0,23,51,26,77,8.3,4.1,SACO BAY,
132,CB-86-136,43.45772778,-70.11330556,87,sM,SANDY MUD,1,49,9,42,50,6.2,4.2,SACO BAY,
133,CB-86-137,43.47345,-70.12901667,50,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,SACO BAY,
134,CB-86-138,43.485475,-70.11606667,68,msG,MUDDY SANDY GRAVEL,,,,,,,,SACO BAY,
135,CB-86-139,43.49750556,-70.10129167,86,sM,SANDY MUD,0,14,61,26,86,9.4,3.2,CASCO BAY,
136,CB-86-140,43.50981944,-70.08757222,74,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
137,CB-86-141,43.54726389,-70.11619167,58,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
138,CB-86-142,43.55664722,-70.10466667,52,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
139,CB-86-143,43.57430833,-70.08682778,16,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
140,CB-86-144,43.58595556,-70.08630833,15,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
141,CB-86-145,43.59628333,-70.09495556,44,mgS,MUDDY GRAVELLY SAND,37,56,2,6,8,0.1,3.5,CASCO BAY,
142,CB-86-146,43.60908333,-70.10880278,43,sM,SANDY MUD,0,39,35,26,61,5.6,3.9,CASCO BAY,
143,CB-86-147,43.62285833,-70.10130278,38,gS,GRAVELLY SAND,,,,,,,,CASCO BAY,
144,CB-86-148,43.62911111,-70.09376667,21,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
145,CB-86-149,43.63900278,-70.08212778,21,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
146,CB-86-150,43.62943611,-70.05131111,62,mS,MUDDY SAND,,,,,,,,CASCO BAY,
147,CB-86-151,43.61687222,-70.03815833,67,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
148,CB-86-152,43.59514167,-70.01633333,37,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
149,CB-86-153,43.61040556,-70.00523056,44,msG,MUDDY SANDY GRAVEL,47,45,4,4,8,-0.9,3.2,CASCO BAY,
150,CB-86-154,43.62279167,-69.99122222,41,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
151,CB-86-155,43.63928056,-70.008125,49,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
152,CB-86-156,43.62789167,-70.02230833,46,mS,MUDDY SAND,2,80,11,8,18,3.3,2.4,CASCO BAY,
153,CB-86-157,43.64436944,-70.03981667,31,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
154,CB-86-158,43.65625278,-70.02593611,50,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
155,CB-86-159,43.62897222,-69.967725,50,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
156,CB-86-160,43.64147222,-69.98240556,49,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
157,CB-86-161,43.64628889,-69.98901667,56,sM,SANDY MUD,0,33,51,16,67,8.3,4.3,CASCO BAY,
158,CB-86-163,43.64530556,-69.98719444,58,sM,SANDY MUD,0,25,17,58,75,8.1,3.6,CASCO BAY,
159,CB-86-164,43.65668333,-69.99909167,50,mS,MUDDY SAND,3,56,30,12,42,5.1,4.1,CASCO BAY,
160,CB-86-165,43.66255278,-70.00519722,28,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
161,CB-86-166,43.65452778,-70.02758611,52,gsM,GRAVELLY SANDY MUD,6,8,36,50,86,8.1,4.1,CASCO BAY,
162,CB-86-167,43.65904167,-70.02120556,40,msG,MUDDY SANDY GRAVEL,63,27,5,5,10,-1.7,3.5,CASCO BAY,
163,CB-86-168,43.663375,-70.01908611,53,mS,MUDDY SAND,0,54,34,12,46,6.1,4,CASCO BAY,
164,CB-86-169,43.60737222,-70.18451389,20,G,GRAVEL,99,0,0,0,1,-4.1,0.1,CASCO BAY,
165,CB-86-170,43.62476389,-70.20235833,16,S,SAND,,,,,,,,CASCO BAY,
166,CB-86-171,43.63134444,-70.209775,19,S,SAND,0,99,0,1,1,1.1,0.4,CASCO BAY,
167,CB-86-172,43.66776111,-70.17230278,31,sG,SANDY GRAVEL,65,31,2,2,4,-2,2.4,CASCO BAY,
168,CB-86-173,43.68351389,-70.18565556,21,mS,MUDDY SAND,0,77,16,8,24,4.8,3.1,CASCO BAY,
169,CB-86-174,43.69186111,-70.17147222,10,gS,GRAVELLY SAND,17,80,2,2,3,0.3,1.6,CASCO BAY,
170,CB-86-175,43.71169444,-70.16658611,17,sM,SANDY MUD,0,25,57,18,75,7.7,3.9,CASCO BAY,
171,CB-86-176,43.72834167,-70.1753,12,sM,SANDY MUD,0,6,72,23,94,8,2.8,CASCO BAY,
172,CB-86-177,43.74088333,-70.15716389,12,sM,SANDY MUD,,,,,,,,CASCO BAY,
173,CB-86-178,43.72167778,-70.15299167,11,mgS,MUDDY GRAVELLY SAND,20,74,4,2,6,0.7,2.3,CASCO BAY,
174,CB-86-179,43.73281389,-70.14279444,10,sM,SANDY MUD,0,20,62,18,80,8.8,4.1,CASCO BAY,
175,CB-86-180,43.74834167,-70.13157222,5,mgS,MUDDY GRAVELLY SAND,31,39,19,11,30,2.6,5.9,CASCO BAY,
176,CB-86-181,43.75633333,-70.11998889,10,mS,MUDDY SAND,0,72,18,11,28,3.8,3.4,CASCO BAY,
177,CB-86-182,43.7653,-70.092325,10,msG,MUDDY SANDY GRAVEL,55,30,9,5,15,-0.6,4.2,CASCO BAY,
178,CB-86-183,43.77206667,-70.078025,19,sM,SANDY MUD,0,29,54,17,71,7.3,3.7,CASCO BAY,
179,CB-86-184,43.77861389,-70.073575,9,mgS,MUDDY GRAVELLY SAND,44,49,5,2,8,-0.4,2.9,CASCO BAY,
180,CB-86-185,43.77576944,-70.05697778,11,sM,SANDY MUD,0,10,67,23,91,9.4,3.1,CASCO BAY,
181,CB-86-186,43.77613611,-70.030825,16,sM,SANDY MUD,0,28,54,18,72,7.5,4,CASCO BAY,
182,CB-86-187,43.78461111,-70.02707222,13,sM,SANDY MUD,0,15,62,23,85,9.2,3.9,CASCO BAY,
183,CB-86-188,43.79223056,-70.02795833,15,sM,SANDY MUD,0,6,65,29,94,9,3.4,CASCO BAY,
184,CB-86-189,43.79628611,-70.01853333,10,msG,MUDDY SANDY GRAVEL,53,31,11,5,16,-0.6,4.2,CASCO BAY,
185,CB-86-190,43.80682222,-70.01012778,7,M,MUD,0,3,70,27,97,8.1,2.7,CASCO BAY,
186,CB-86-191,43.81171389,-69.99630556,11,sM,SANDY MUD,0,9,30,61,91,8.8,2.9,CASCO BAY,
187,CB-86-192,43.82047778,-69.98577778,5,M,MUD,0,4,68,28,96,9.8,2.2,CASCO BAY,
188,CB-86-193,43.70519167,-70.02269444,32,sM,SANDY MUD,1,37,21,41,62,6.7,3.7,CASCO BAY,
189,CB-86-194,43.67950278,-70.02651944,23,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
190,CB-86-195,43.65869167,-69.94860556,48,sM,SANDY MUD,0,47,18,35,53,6.5,3.6,CASCO BAY,
191,CB-86-196,43.67375278,-69.93046111,29,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
192,CB-86-197,43.71616389,-69.95533056,34,sM,SANDY MUD,0,26,17,57,74,8.2,3.7,CASCO BAY,
193,CB-86-198,43.70263889,-69.99840556,14,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
194,CB-86-199,43.72654722,-70.011325,19,sM,SANDY MUD,0,19,30,51,81,8,3.7,CASCO BAY,
195,CB-86-200,43.72905833,-69.931575,14,sM,SANDY MUD,0,22,23,55,78,7.5,3.3,CASCO BAY,
196,CB-86-201,43.73476111,-69.90825833,16,sM,SANDY MUD,,,,,,,,CASCO BAY,
197,CB-86-202,43.74093056,-69.88808333,20,sM,SANDY MUD,0,38,34,28,62,6.2,2.9,CASCO BAY,
198,CB-86-203,43.75904722,-69.880525,14,sM,SANDY MUD,0,17,21,63,84,8.7,3.7,CASCO BAY,
199,CB-86-204,43.76741667,-69.89215,16,M,MUD,,,,,,,,CASCO BAY,
200,CB-86-205,43.76283333,-69.90035833,16,sM,SANDY MUD,0,16,28,56,84,0.2,3.5,CASCO BAY,
201,CB-86-206,43.75964444,-69.92071944,16,sM,SANDY MUD,0,12,24,64,88,8.7,2.8,CASCO BAY,
202,CB-86-207,43.75969444,-69.93462778,11,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
203,CB-86-208,43.74054722,-69.95033889,9,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
204,CB-86-209,43.75989722,-69.95478611,12,M,MUD,,,,,,,,CASCO BAY,
205,CB-86-210,43.75161667,-69.97106111,10,sM,SANDY MUD,0,14,17,69,86,9,3.1,CASCO BAY,
206,CB-86-211,43.73948056,-69.98082778,12,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
207,CB-86-212,43.74131944,-70.00050556,37,msG,MUDDY SANDY GRAVEL,46,44,3,8,10,-0.5,3.4,CASCO BAY,
208,CB-86-213,43.76304722,-69.986475,24,sM,SANDY MUD,1,37,29,33,63,6.3,3.7,CASCO BAY,
209,CB-86-214,43.76298333,-70.00015556,5,M,MUD,0,3,18,80,97,10.4,2.6,CASCO BAY,
210,CB-86-215,43.71712222,-70.06187778,35,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
211,CB-86-216,43.73672222,-70.06663333,30,mgS,MUDDY GRAVELLY SAND,17.9,70.1,2.4,9.6,12,1.2,3.2,CASCO BAY,
212,CB-86-217,43.74489722,-70.05116111,16,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,CASCO BAY,
213,CB-86-218,43.76024167,-70.038675,26,sM,SANDY MUD,0,21,36,43,79,8.6,3.1,CASCO BAY,
214,CB-86-219,43.80543889,-70.02472778,4,M,MUD,0,4,28,68,96,9.5,2.8,CASCO BAY,
215,CB-86-220,43.82034722,-70.02488611,4,M,MUD,,,,,,,,CASCO BAY,
216,CB-86-221,43.82559444,-70.02856667,7,gM,GRAVELLY MUD,,,,,,,,CASCO BAY,
217,CB-86-222,43.83647778,-70.031875,6,M,MUD,0,2,19,79,98,10,2.3,CASCO BAY,
218,CB-86-223,43.81793889,-70.04388889,12,M,MUD,0,4,22,74,96,10.3,3.1,CASCO BAY,
219,CB-86-224,43.80118056,-70.04548056,12,M,MUD,,,,,,,,CASCO BAY,
220,CB-86-225,43.79903333,-70.09346667,9,mS,MUDDY SAND,,,,,,,,CASCO BAY,
221,CB-86-226,43.78693333,-70.08510278,10,sM,SANDY MUD,0,25,38,38,75,7,3.3,CASCO BAY,
222,CB-86-227,43.75535833,-70.05855,16,sM,SANDY MUD,,,,,,,,CASCO BAY,
223,CB-86-228,43.75236667,-70.09010556,11,sM,SANDY MUD,,,,,,,,CASCO BAY,
224,CB-86-229,43.72156111,-70.103325,14,sM,SANDY MUD,,,,,,,,CASCO BAY,
225,CB-86-230,43.70920278,-70.10320833,32,sM,SANDY MUD,1,48,9,41,51,6,4.1,CASCO BAY,
226,CB-86-231,43.69029444,-70.13933333,13,gS,GRAVELLY SAND,,,,,,,,CASCO BAY,
227,CB-86-232,43.68253611,-70.13123056,27,sM,SANDY MUD,1,28,20,51,71,7.7,3.8,CASCO BAY,
